,Max |Vdc−Vdc*| (V),Mean |Vdc−Vdc*| (V),RMSE Vdc (V),Grid power RMSE (kW),Peak grid power (kW)
PID,7.024568474888838,0.5309035249257184,0.9837088643230256,162.43686189557303,230.51321479081568
OFO,40.0,21.804295279396836,24.56991425412978,178.2346945706858,323.2315995766765
OFO-NN,40.0,23.367876069436825,26.13709795034205,180.636323139045,331.69169520719095
